v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
-0.071,-0.055,-0.07,-0.068,-0.046,-0.066,-0.063,-0.073,-0.066,-0.065,0.0
-0.055,-0.07,-0.068,-0.046,-0.066,-0.063,-0.073,-0.066,-0.065,-0.07,0.0
-0.07,-0.068,-0.046,-0.066,-0.063,-0.073,-0.066,-0.065,-0.07,-0.05,0.0
-0.068,-0.046,-0.066,-0.063,-0.073,-0.066,-0.065,-0.07,-0.05,-0.037,0.0
-0.046,-0.066,-0.063,-0.073,-0.066,-0.065,-0.07,-0.05,-0.037,-0.046,0.0
-0.066,-0.063,-0.073,-0.066,-0.065,-0.07,-0.05,-0.037,-0.046,-0.061,0.0
-0.063,-0.073,-0.066,-0.065,-0.07,-0.05,-0.037,-0.046,-0.061,-0.065,0.0
-0.073,-0.066,-0.065,-0.07,-0.05,-0.037,-0.046,-0.061,-0.065,-0.069,0.0
-0.066,-0.065,-0.07,-0.05,-0.037,-0.046,-0.061,-0.065,-0.069,-0.078,0.0
-0.065,-0.07,-0.05,-0.037,-0.046,-0.061,-0.065,-0.069,-0.078,-0.067,0.0
-0.07,-0.05,-0.037,-0.046,-0.061,-0.065,-0.069,-0.078,-0.067,-0.062,0.0
-0.05,-0.037,-0.046,-0.061,-0.065,-0.069,-0.078,-0.067,-0.062,-0.057,0.0
-0.037,-0.046,-0.061,-0.065,-0.069,-0.078,-0.067,-0.062,-0.057,-0.078,0.0
-0.046,-0.061,-0.065,-0.069,-0.078,-0.067,-0.062,-0.057,-0.078,-0.066,0.0
-0.061,-0.065,-0.069,-0.078,-0.067,-0.062,-0.057,-0.078,-0.066,-0.047,0.0
-0.065,-0.069,-0.078,-0.067,-0.062,-0.057,-0.078,-0.066,-0.047,-0.042,0.0
-0.069,-0.078,-0.067,-0.062,-0.057,-0.078,-0.066,-0.047,-0.042,-0.039,0.0
-0.078,-0.067,-0.062,-0.057,-0.078,-0.066,-0.047,-0.042,-0.039,-0.032,0.0
-0.067,-0.062,-0.057,-0.078,-0.066,-0.047,-0.042,-0.039,-0.032,-0.028,0.0
-0.062,-0.057,-0.078,-0.066,-0.047,-0.042,-0.039,-0.032,-0.028,-0.032,0.0
-0.057,-0.078,-0.066,-0.047,-0.042,-0.039,-0.032,-0.028,-0.032,-0.048,0.0
-0.078,-0.066,-0.047,-0.042,-0.039,-0.032,-0.028,-0.032,-0.048,-0.046,0.0
-0.066,-0.047,-0.042,-0.039,-0.032,-0.028,-0.032,-0.048,-0.046,-0.038,0.0
-0.047,-0.042,-0.039,-0.032,-0.028,-0.032,-0.048,-0.046,-0.038,-0.031,0.0
-0.042,-0.039,-0.032,-0.028,-0.032,-0.048,-0.046,-0.038,-0.031,-0.036,0.0
-0.039,-0.032,-0.028,-0.032,-0.048,-0.046,-0.038,-0.031,-0.036,-0.048,0.0
-0.032,-0.028,-0.032,-0.048,-0.046,-0.038,-0.031,-0.036,-0.048,-0.026,0.0
-0.028,-0.032,-0.048,-0.046,-0.038,-0.031,-0.036,-0.048,-0.026,-0.02,0.0
-0.032,-0.048,-0.046,-0.038,-0.031,-0.036,-0.048,-0.026,-0.02,-0.017,0.0
-0.048,-0.046,-0.038,-0.031,-0.036,-0.048,-0.026,-0.02,-0.017,-0.017,0.0
-0.046,-0.038,-0.031,-0.036,-0.048,-0.026,-0.02,-0.017,-0.017,-0.023,0.0
-0.038,-0.031,-0.036,-0.048,-0.026,-0.02,-0.017,-0.017,-0.023,-0.037,0.0
-0.031,-0.036,-0.048,-0.026,-0.02,-0.017,-0.017,-0.023,-0.037,-0.032,0.0
-0.036,-0.048,-0.026,-0.02,-0.017,-0.017,-0.023,-0.037,-0.032,-0.024,0.0
-0.048,-0.026,-0.02,-0.017,-0.017,-0.023,-0.037,-0.032,-0.024,-0.041,0.0
-0.026,-0.02,-0.017,-0.017,-0.023,-0.037,-0.032,-0.024,-0.041,-0.029,0.0
-0.02,-0.017,-0.017,-0.023,-0.037,-0.032,-0.024,-0.041,-0.029,-0.056,0.0
-0.017,-0.017,-0.023,-0.037,-0.032,-0.024,-0.041,-0.029,-0.056,-0.057,0.0
-0.017,-0.023,-0.037,-0.032,-0.024,-0.041,-0.029,-0.056,-0.057,-0.05,0.0
-0.023,-0.037,-0.032,-0.024,-0.041,-0.029,-0.056,-0.057,-0.05,-0.047,0.0
-0.037,-0.032,-0.024,-0.041,-0.029,-0.056,-0.057,-0.05,-0.047,-0.023,0.0
