Time,V2XSpeed,V2XSpeedInj,KFSpeed,KFSpeedInj
15.65,30.53,30.53,30.49587925521542,30.49587925521542
15.75,30.44,30.44,30.493621076287766,30.493621076287766
15.85,30.59,30.59,30.495064012843667,30.495064012843667
15.95,30.57,30.57,30.4964035834742,30.4964035834742
16.05,30.43,30.43,30.496136132417654,30.496136132417654
16.15,30.58,30.58,30.498891524673493,30.498891524673493
16.25,30.51,30.51,30.497804367050893,30.497804367050893
16.35,30.53,30.53,30.498407239819077,30.498407239819077
16.45,30.57,30.57,30.498786317161,30.498786317161
16.55,30.53,30.53,30.50023936252641,30.50023936252641
16.65,30.58,30.58,30.50279128993255,30.50279128993255
16.75,30.51,30.51,30.50265892402168,30.50265892402168
16.85,30.55,30.55,30.50256027520609,30.50256027520609
16.95,30.5,30.5,30.501192425049698,30.501192425049698
17.05,30.43,30.43,30.50122144329117,30.50122144329117
17.15,30.57,30.57,30.502143092589474,30.502143092589474
17.25,30.47,30.47,30.501237648262673,30.501237648262673
17.35,30.45,30.45,30.498935234137978,30.498935234137978
17.45,30.42,30.42,30.49699556065693,30.49699556065693
17.55,30.57,30.57,30.499754328037028,30.499754328037028
17.65,30.56,30.56,30.507436277364896,30.507436277364896
17.75,30.52,30.52,30.519633014118604,30.519633014118604
17.85,30.56,30.56,30.53595199671554,30.53595199671554
17.95,30.54,30.54,30.553607209322806,30.553607209322806
18.05,30.5,30.5,30.57107346652408,30.57107346652408
18.15,30.67,30.67,30.593657228059342,30.593657228059342
18.25,30.64,30.64,30.61677295609057,30.61677295609057
18.35,30.57,30.57,30.641655303125216,30.641655303125216
18.45,30.59,30.59,30.669703793731895,30.669703793731895
18.55,30.59,30.59,30.700797505877063,30.700797505877063
18.65,30.8,30.8,30.738764310577764,30.738764310577764
18.75,30.71,30.71,30.776175042441686,30.776175042441686
18.85,30.83,30.83,30.815741745071882,30.815741745071882
18.95,30.85,30.85,30.856113471466916,30.856113471466916
19.05,30.89,30.89,30.897992501477134,30.897992501477134
19.15,30.94,30.94,30.940091832545203,30.940091832545203
19.25,30.97,30.97,30.98135075157539,30.98135075157539
19.35,30.96,30.96,31.028111203763608,31.028111203763608
19.45,31.12,31.12,31.08718344974088,31.08718344974088
19.55,31.15,31.15,31.151216696508847,31.151216696508847
19.65,31.14,31.14,31.221346078841698,31.221346078841698
19.75,31.18,31.18,31.29655760858819,31.29655760858819
19.85,31.38,31.38,31.3780836960909,31.3780836960909
19.95,31.38,31.38,31.46206977348037,31.46206977348037
20.05,31.46,31.46,31.5476419868822,31.5476419868822
20.15,31.57,31.57,31.635051895373238,31.635051895373238
20.25,31.65,31.65,31.724303207817503,31.724303207817503
20.35,31.79,31.79,31.816073774945508,31.816073774945508
20.45,31.94,31.94,31.911262008432608,31.911262008432608
20.55,31.89,31.89,32.00434710026822,32.00434710026822
20.65,32.01,32.01,32.10037210488593,32.10037210488593
20.75,32.15,32.15,32.197099722802825,32.197099722802825
20.85,32.22,32.22,32.2921605567499,32.2921605567499
20.95,32.45,32.45,32.390207582991785,32.390207582991785
21.05,32.44,32.44,32.48784867937412,32.48784867937412
21.15,32.54,32.54,32.58695752956598,32.58695752956598
21.25,32.7,32.7,32.68783180543596,32.68783180543596
21.35,32.67,32.67,32.785331148208925,32.785331148208925
21.45,32.93,32.93,32.885877002096095,32.885877002096095
21.55,32.87,32.87,32.98443894233229,32.98443894233229
21.65,33.12,33.12,33.0856759749075,33.0856759749075
21.75,33.15,33.15,33.18490935291019,33.18490935291019
21.85,33.25,33.25,33.284724809453785,33.284724809453785
21.95,33.33,33.33,33.38409622696224,33.38409622696224
22.05,33.47,33.47,33.4845641675136,33.4845641675136
22.15,33.52,33.52,33.583411471351745,33.583411471351745
22.25,33.55,33.55,33.68095357544353,33.68095357544353
22.35,33.82,33.82,33.78308253905752,33.78308253905752
22.45,33.84,33.84,33.881472124640766,33.881472124640766
22.55,33.97,33.97,33.980770538537605,33.980770538537605
22.65,34.15,34.15,34.083498340370554,34.083498340370554
22.75,34.09,34.09,34.183176768954795,34.183176768954795
22.85,34.18,34.18,34.281934206531275,34.281934206531275
22.95,34.4,34.4,34.38214830028655,34.38214830028655
23.05,34.46,34.46,34.482148534175906,34.482148534175906
23.15,34.64,34.64,34.58212941905772,34.58212941905772
23.25,34.66,34.66,34.68155924880573,34.68155924880573
23.35,34.81,34.81,34.782268406951275,34.782268406951275
23.45,34.81,34.81,34.88234368244088,34.88234368244088
23.55,35.03,35.03,34.98415053807314,34.98415053807314
23.65,35.09,35.09,35.08457217220331,35.08457217220331
23.75,35.08,35.08,35.17717535183649,35.17717535183649
23.85,35.3,35.3,35.25646154209672,35.25646154209672
23.95,35.41,35.41,35.32110477285564,35.32110477285564
24.05,35.28,35.28,35.372581463104794,35.372581463104794
24.15,35.44,35.44,35.41532320781154,35.41532320781154
24.25,35.39,35.39,35.450583154006914,35.450583154006914
24.35,35.51,35.51,35.47987520962284,35.47987520962284
24.45,35.45,35.45,35.50304683552928,35.50304683552928
24.55,35.63,35.63,35.523458508826664,35.523458508826664
24.65,35.61,35.61,35.54136763917638,35.54136763917638
24.75,35.61,35.61,35.555913959305265,35.555913959305265
24.85,35.49,35.49,35.56423870507174,35.56423870507174
24.95,35.68,35.68,35.57417944317032,35.57417944317032
25.05,35.53,35.54388888888889,35.58122299962977,35.58149035156054
25.15,35.5,35.541666666666664,35.58610371378872,35.58716766719233
25.25,35.63,35.699444444444445,35.59214143835872,35.59452044252791
25.35,35.57,35.66722222222222,35.59489003819102,35.599091950960826
25.45,35.58,35.705,35.59678269233576,35.603304985070416
25.55,35.67,35.82277777777778,35.60139232136893,35.61072228020901
25.65,35.64,35.82055555555556,35.6040934507125,35.61670837414654
25.75,35.71,35.91833333333334,35.608868258547325,35.62523565137089
